,t
277,1.029054697
278,1.042705428
279,1.048057578
280,1.046491722
281,1.039683252
282,1.029714653
283,1.019186471
284,1.011223832
285,1.009218228
286,1.016199623
287,1.033961822
288,1.062126556
289,1.097152308
290,1.131853498
291,1.157299597
292,1.167299857
293,1.161238372
294,1.142716832
295,1.116714155
296,1.087823258
297,1.059691427
298,1.034994333
299,1.015484523
300,1.001938428
301,0.994007595
302,0.990091777
303,0.987377375
304,0.982112059
305,0.970189703
306,0.948309638
307,0.915686586
308,0.874980203
309,0.83107319
310,0.788945036
311,0.752596424
312,0.72498448
313,0.708100356
314,0.702811782
315,0.708613009
316,0.723624771
317,0.745024163
318,0.769745467
319,0.795157988
320,0.819576785
321,0.842619735
322,0.865408476
323,0.89045631
324,0.920832483
325,0.958225543
326,1.000957079
327,1.044499245
328,1.084356311
329,1.118148955
330,1.14573898
331,1.168434816
332,1.188138798
333,1.20666339
334,1.225240389
335,1.244263486
336,1.263309189
337,1.281414641
338,1.297470897
339,1.310488309
340,1.319516321
341,1.323158266
342,1.318883873
343,1.302958101
344,1.272279234
345,1.227116232
346,1.171183426
347,1.109215626
348,1.045076725
349,0.981260437
350,0.919104585
351,0.859182987
352,0.80167761
353,0.746660352
354,0.694247972
355,0.64463318
356,0.598041379
357,0.554680683
358,0.514735405
359,0.478428581
360,0.446171229
361,0.418808661
362,0.397934942
363,0.386215266
364,0.387595427
365,0.406918818
366,0.448061839
367,0.510635554
368,0.588101995
369,0.670232945
370,0.747701992
371,0.814632486
372,0.868498861
373,0.908997561
374,0.937010193
375,0.953940305
376,0.961359113
377,0.960848836
378,0.95397031
379,0.942321108
380,0.927668062
381,0.912138606
382,0.898437899
383,0.889967744
384,0.890554122
385,0.903502871
386,0.930193734
387,0.968813034
388,1.013728379
389,1.05670288
390,1.090643541
391,1.112828387
392,1.124696456
393,1.129704296
394,1.131570653
395,1.133434712
396,1.137558222
397,1.145230548
398,1.156750834
399,1.171505617
400,1.188183248
401,1.205061331
402,1.220128115
403,1.230740605
404,1.232945882
405,1.22175324
406,1.194050349
407,1.151892025
408,1.101211646
409,1.047974715
410,0.996246864
411,0.948139866
412,0.904274046
413,0.864230806
414,0.826961417
415,0.791192575
416,0.755811633
417,0.72015198
418,0.6840969
419,0.648003569
420,0.612560364
421,0.578733972
422,0.547905286
423,0.522168542
424,0.504604496
425,0.499204852
426,0.510083565
427,0.53975856
428,0.587280212
429,0.648031767
430,0.715665193
431,0.784346613
432,0.849784781
433,0.909168463
434,0.960745672
435,1.003493152
436,1.036959337
437,1.061193994
438,1.076682083
439,1.084274853
440,1.085161903
441,1.080922279
442,1.073643048
443,1.066023845
444,1.061316676
445,1.062910613
446,1.073505148
447,1.094090074
448,1.122941113
449,1.154812309
450,1.181390838
451,1.194456981
452,1.190069628
453,1.169662535
454,1.137779037
455,1.099500795
456,1.059159825
457,1.020052364
458,0.984532568
459,0.95411678
460,0.929452083
461,0.910146079
462,0.894583633
463,0.879961424
464,0.862764116
465,0.839771775
466,0.809416361
467,0.772736751
468,0.732992246
469,0.694256849
470,0.66036615
471,0.634711588
472,0.620328897
473,0.619686414
474,0.63400678
475,0.662518429
476,0.702377937
477,0.749555827
478,0.800105337
479,0.851047147
480,0.900643161
481,0.948247171
482,0.993878515
483,1.037500327
484,1.078198202
485,1.114021374
486,1.142935624
487,1.163972977
488,1.177598374
489,1.185447988
490,1.189930907
491,1.193848714
492,1.19994837
493,1.210333051
494,1.225786917
495,1.245172124
496,1.265141419
497,1.280549688
498,1.285806988
499,1.276669356
500,1.251440669
501,1.211162021
502,1.1590908
503,1.099673926
504,1.037291178
505,0.975394906
506,0.916287009
507,0.86124304
508,0.810684829
509,0.764313354
510,0.72126458
511,0.680388491
512,0.640663361
513,0.601601212
514,0.563434234
515,0.527011137
516,0.493569321
517,0.464635356
518,0.442189208
519,0.429056063
520,0.429263533
521,0.447667592
522,0.487850262
523,0.548692211
524,0.623135017
525,0.70148761
526,0.775767625
527,0.841316389
528,0.896143097
529,0.939773658
530,0.9724535
531,0.994785823
532,1.007631921
533,1.012097044
534,1.009516581
535,1.001448437
536,0.989716165
537,0.976537623
538,0.964718333
539,0.957751084
540,0.959471581
541,0.972992111
542,0.999229426
543,1.035669443
544,1.075903839
545,1.1111926
546,1.134425523
547,1.143244296
548,1.139659371
549,1.127771704
550,1.111929085
551,1.095868242
552,1.082455786
553,1.073630321
554,1.070349743
555,1.07250686
556,1.078870009
557,1.08711478
558,1.09392002
559,1.095064563
560,1.085866186
561,1.062880956
562,1.026492467
563,0.981268066
564,0.933227603
565,0.887400645
566,0.847196388
567,0.814589252
568,0.790311332
569,0.773937975
570,0.76401798
571,0.758367948
572,0.754521541
573,0.750244151
574,0.744015514
575,0.735391256
576,0.725196297
577,0.715617033
578,0.710284886
579,0.714103994
580,0.731998616
581,0.766175707
582,0.81390195
583,0.868738486
584,0.924193617
585,0.976122667
586,1.022852047
587,1.064274401
588,1.100952343
589,1.133552102
590,1.162586031
591,1.188352266
592,1.210967808
593,1.230446568
594,1.246831831
595,1.260402558
596,1.271923332
597,1.282790971
598,1.294719002
599,1.308496582
600,1.322011853
601,1.329384467
602,1.323517858
603,1.300516252
604,1.26124315
605,1.209429621
606,1.149375226
607,1.084786512
608,1.018501069
609,0.952572802
610,0.888439785
611,0.827077175
612,0.769108545
613,0.714870971
614,0.664439112
615,0.617630941
616,0.574057272
617,0.533305614
618,0.495252927
619,0.46030521
620,0.429406713
621,0.403992397
622,0.386144275
623,0.378960526
624,0.386823202
625,0.41476294
626,0.465827226
627,0.537199143
628,0.619493312
629,0.70141073
630,0.774703463
631,0.835391667
632,0.882548456
633,0.916829981
634,0.939513957
635,0.952025549
636,0.95578573
637,0.952228903
638,0.942869053
639,0.929371271
640,0.913657308
641,0.898079052
642,0.885629985
643,0.880007079
644,0.885127014
645,0.903839531
646,0.936331342
647,0.979050411
648,1.024892839
649,1.065752062
650,1.096359963
651,1.115886712
652,1.126643604
653,1.132123958
654,1.135740271
655,1.140240388
656,1.14746367
657,1.158246924
658,1.172447549
659,1.189113794
660,1.206785132
661,1.223766531
662,1.238072254
663,1.246808132
664,1.245494443
665,1.229175795
666,1.196210535
667,1.150332842
668,1.097784824
669,1.043889388
670,0.991962541
671,0.943546538
672,0.898885144
673,0.857362664
674,0.817921105
675,0.779466683
676,0.741207929
677,0.702836965
678,0.66451737
679,0.626747746
680,0.590243035
681,0.555961585
682,0.525317913
683,0.500492116
684,0.484625409
685,0.481655006
686,0.495476566
687,0.528236935
688,0.578609861
689,0.64177184
690,0.711319193
691,0.781362492
692,0.847480039
693,0.906705844
694,0.957211054
695,0.998040907
696,1.028945625
697,1.050239143
698,1.062661073
699,1.067274459
700,1.065442723
701,1.058898253
702,1.049864296
703,1.041144178
704,1.036036786
705,1.037902088
706,1.049349175
707,1.071265137
708,1.101836091
709,1.135705624
710,1.164435349
711,1.179823868
712,1.178165361
713,1.161131471
714,1.133331408
715,1.099785232
716,1.064739163
717,1.031426022
718,1.002145409
719,0.978321615
720,0.960424587
721,0.947786747
722,0.9384617
723,0.929319619
724,0.916526547
725,0.896517616
726,0.867450186
727,0.830408755
728,0.789081175
729,0.748072783
730,0.711560971
731,0.682978848
732,0.665096258
733,0.659878493
734,0.668022755
735,0.688531828
736,0.718819373
737,0.755447734
738,0.795077051
739,0.835168924
740,0.87433756
741,0.912449095
742,0.95045044
743,0.989672962
744,1.030477457
745,1.071108214
746,1.108307991
747,1.139307655
748,1.163106111
749,1.180439902
750,1.193199696
751,1.203821253
752,1.214720326
753,1.227734206
754,1.243617963
755,1.261720865
756,1.279983934
757,1.295350052
758,1.304478758
759,1.304378484
760,1.292629595
761,1.267466088
762,1.228413751
763,1.177275469
764,1.117934706
765,1.054780043
766,0.991359808
767,0.929977487
768,0.871819366
769,0.817209434
770,0.765877005
771,0.717252265
772,0.670782
773,0.626185786
774,0.58356003
775,0.543320042
776,0.506075529
777,0.472566432
778,0.443744459
779,0.421037026
780,0.406774869
781,0.404606692
782,0.419365643
783,0.455428436
784,0.513320255
785,0.587333512
786,0.667683171
787,0.745190897
788,0.813901765
789,0.870972657
790,0.915602447
791,0.9481292
792,0.969496194
793,0.980967547
794,0.983974489
795,0.98003786
796,0.970756702
797,0.957873698
798,0.943431212
799,0.929999916
800,0.920858944
801,0.919823784
802,0.930375215
803,0.954233382
804,0.990036081
805,1.032595415
806,1.073700807
807,1.105551052
808,1.12449521
809,1.131528893
810,1.13022355
811,1.124694142
812,1.11855314
813,1.114549048
814,1.114470732
815,1.119111749
816,1.128261791
817,1.14077406
818,1.154730553
819,1.167584964
820,1.176050386
821,1.175820169
822,1.162194679
823,1.132814807
824,1.090258596
825,1.040549046
826,0.989626849
827,0.94162502
828,0.898821271
829,0.862009489
830,0.830828937
831,0.804065456
832,0.780003944
833,0.756844441
834,0.733121172
835,0.708019565
836,0.681501836
837,0.654258361
838,0.627637953
839,0.603735455
840,0.585657278
841,0.577662742
842,0.58454296
843,0.609731479
844,0.652875928
845,0.70924538
846,0.772060213
847,0.835415192
848,0.895526602
849,0.95046565
850,0.999416006
851,1.042050765
852,1.078176171
853,1.107617434
854,1.130272811
855,1.146243349
856,1.155967016
857,1.16034551
858,1.160888998
859,1.159856594
860,1.160237535
861,1.165300111
862,1.177533532
863,1.197203123
864,1.221088402
865,1.242326372
866,1.252584437
867,1.246009717
868,1.221642257
869,1.182520107
870,1.133321258
871,1.078607816
872,1.022090728
873,0.966521191
874,0.913818516
875,0.865217594
876,0.821333565
877,0.782110306
878,0.746708703
879,0.713528322
880,0.680622678
881,0.646528785
882,0.611053435
883,0.575413337
884,0.541713537
885,0.512412237
886,0.490245419
887,0.478485005
888,0.481054859
889,0.501842354
890,0.542744932
891,0.601421385
892,0.671261302
893,0.744239988
894,0.813947555
895,0.876635519
896,0.930677146
897,0.975595053
898,1.011316716
899,1.037861544
900,1.055405514
901,1.064491504
902,1.066149799
903,1.061889533
904,1.053671098
905,1.04394083
906,1.035693909
907,1.032391404
908,1.037461023
909,1.053259053
910,1.079737219
911,1.113235824
912,1.146276106
913,1.169915325
914,1.178055355
915,1.16980073
916,1.148268071
917,1.11816163
918,1.084099707
919,1.049917035
920,1.018516288
921,0.991895187
922,0.971140295
923,0.956313778
924,0.946273945
925,0.938568422
926,0.929592785
927,0.915230081
928,0.89218187
929,0.859713816
930,0.820372686
931,0.778654033
932,0.739110473
933,0.705546788
934,0.681060652
935,0.668101045
936,0.668163358
937,0.681261304
938,0.70566959
939,0.738325864
940,0.775726151
941,0.814795594
942,0.853427194
943,0.890735621
944,0.927124412
945,0.964012623
946,1.0028369
947,1.043424517
948,1.083250666
949,1.118863508
950,1.147941182
951,1.170071016
952,1.186412872
953,1.199065492
954,1.210462962
955,1.22279664
956,1.237457684
957,1.254595354
958,1.272935095
959,1.28998484
960,1.302638966
961,1.307909585
962,1.30332463
963,1.286864257
964,1.257041156
965,1.213830503
966,1.159630096
967,1.098587697
968,1.034889269
969,0.971679929
970,0.910875223
971,0.853357637
972,0.799246393
973,0.748182346
974,0.699637559
975,0.653209249
976,0.608807137
977,0.566676387
978,0.527298578
979,0.491285396
980,0.45937099
981,0.432562974
982,0.412475098
983,0.401789067
984,0.404580208
985,0.425829628
986,0.469162021
987,0.533276208
988,0.610710832
989,0.691300445
990,0.766651645
991,0.8318269
992,0.884747015
993,0.925092338
994,0.953498708
995,0.971098427
996,0.979273343
997,0.979522671
998,0.973406174
999,0.962558315
1000,0.948785744
1001,0.934256174
1002,0.921737091
1003,0.914712615
1004,0.9170253
1005,0.931779997
1006,0.959868981
1007,0.998779594
1008,1.042181937
1009,1.081554279
1010,1.110156091
1011,1.125948812
1012,1.130985839
1013,1.129135823
1014,1.12436743
1015,1.119980072
1016,1.118362349
1017,1.120928183
1018,1.128094879
1019,1.139307706
1020,1.1531599
1021,1.167584922
1022,1.179935308
1023,1.186734371
1024,1.183434943
1025,1.165579231
1026,1.13201096
1027,1.086614721
1028,1.035722482
1029,0.984828509
1030,0.937471763
1031,0.895416704
1032,0.859047827
1033,0.827705745
1034,0.800016974
1035,0.774275393
1036,0.74886053
1037,0.722613269
1038,0.695064494
1039,0.666464764
1040,0.637691553
1041,0.610212168
1042,0.586241592
1043,0.569036225
1044,0.562947112
1045,0.57261061
1046,0.6009296
1047,0.646832772
1048,0.705152868
1049,0.769152876
1050,0.833196407
1051,0.893709964
1052,0.948825001
1053,0.997667771
1054,1.039802696
1055,1.074944321
1056,1.102898077
1057,1.123635875
1058,1.137407964
1059,1.144842196
1060,1.147046801
1061,1.145745696
1062,1.143401803
1063,1.143151389
1064,1.148288619
1065,1.161188705
1066,1.181939948
1067,1.207182442
1068,1.229965302
1069,1.241862093
1070,1.236921999
1071,1.214161277
1072,1.176686908
1073,1.129276836
1074,1.076569198
1075,1.022315
1076,0.969281613
1077,0.919391473
1078,0.873864595
1079,0.833258888
1080,0.79738352
1081,0.765167697
1082,0.734713705
1083,0.703801272
1084,0.670821228
1085,0.635622526
1086,0.599626504
1087,0.565205108
1088,0.535048485
1089,0.51204071
1090,0.499487962
1091,0.501187974
1092,0.520720385
1093,0.559644339
1094,0.615607423
1095,0.68249603
1096,0.752990136
1097,0.821188041
1098,0.883534074
1099,0.938363715
